Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
Legal executive,Transportation,Increasing,Low,132132.5,Associate Degree,19,8650,7900,15.63,92.53,Germany,22.69,2,0.8324934998678812,2
Sales executive,Finance,Decreasing,High,147823.17,Associate Degree,10,9846,3878,27.95,64.88,UK,36.77,2,0.8311484611221255,2
Science writer,Finance,Decreasing,High,138328.9,Associate Degree,13,9816,8256,4.15,96.99,UK,44.75,2,0.830555020453877,2
Housing manager/officer,Education,Decreasing,Low,149430.39,High School,17,8101,9966,24.44,99.12,UK,77.61,2,0.828766460149919,2
"Conservator, museum/gallery",Transportation,Increasing,Low,32410.89,PhD,12,638,7741,69.23,91.23,Brazil,23.67,2,0.8280581445763603,2
Operational investment banker,Entertainment,Increasing,Low,68179.95,Bachelor’s Degree,17,8293,2001,65.84,74.18,Canada,79.14,2,0.8276897656271026,2
"Engineer, biomedical",Finance,Increasing,Low,133516.33,Associate Degree,6,9105,1959,98.17,96.07,Australia,24.22,2,0.8250525586741873,2
Contracting civil engineer,Entertainment,Decreasing,High,94912.29,PhD,5,8295,1543,77.5,77.34,China,28.68,2,0.824185966315537,2
Proofreader,Finance,Decreasing,High,91440.91,Bachelor’s Degree,20,9903,3337,34.7,95.48,UK,61.21,2,0.8233792291466502,2
Quantity surveyor,Education,Decreasing,High,148300.28,Master’s Degree,15,9396,7134,87.22,82.03,Canada,77.77,2,0.8222691757189163,2
Hydrogeologist,Manufacturing,Increasing,Moderate,49943.37,Associate Degree,5,399,4373,1.3,89.88,USA,25.62,2,0.8217938825276007,2
Quarry manager,Entertainment,Increasing,Moderate,36034.68,PhD,5,5681,1516,60.41,99.57,UK,56.86,2,0.821642560742134,2
Psychotherapist,Retail,Increasing,High,84280.95,PhD,0,4314,299,56.58,93.16,India,78.78,2,0.821038916558113,2
Local government officer,Entertainment,Decreasing,High,47525.71,Master’s Degree,11,5598,233,19.34,88.15,Germany,64.71,2,0.8192236152578354,2
Building services engineer,Education,Decreasing,Moderate,147539.57,Associate Degree,18,4848,1669,57.99,78.24,Brazil,23.01,2,0.819155983796908,2
Advertising account planner,Entertainment,Decreasing,Low,135000.8,High School,20,9941,2041,73.41,95.22,UK,21.57,2,0.8181998958615307,2
Market researcher,IT,Decreasing,Moderate,31982.74,Bachelor’s Degree,6,209,8306,97.0,87.45,Canada,25.9,2,0.8180989521151295,2
Proofreader,Finance,Increasing,Moderate,139878.65,High School,17,1979,6115,36.22,81.24,India,56.67,2,0.8178017980659027,2
Fine artist,IT,Decreasing,Low,47357.93,Associate Degree,17,639,6218,17.16,97.41,India,60.73,2,0.8161337925912863,2
Plant breeder/geneticist,Finance,Decreasing,Moderate,130765.34,Associate Degree,0,9775,170,66.01,61.06,USA,27.32,2,0.8159355860734756,2
Planning and development surveyor,Entertainment,Decreasing,High,83633.71,Associate Degree,4,7476,2247,53.6,87.43,China,23.97,2,0.8155260552199183,2
Land/geomatics surveyor,Healthcare,Decreasing,Low,79584.91,Associate Degree,2,517,9069,92.95,88.23,India,29.68,2,0.8149120638632346,2
Electrical engineer,Healthcare,Increasing,Low,136889.35,Associate Degree,20,1627,9747,75.61,79.03,Canada,20.8,2,0.8119908554165418,2
"Teacher, special educational needs",Education,Decreasing,High,140727.56,High School,11,8919,373,57.98,19.54,India,20.06,2,0.8119103580968673,0
Chartered accountant,IT,Decreasing,High,128778.53,Master’s Degree,17,9139,9792,86.78,91.6,USA,77.32,2,0.8117857422352743,2
"Nurse, adult",Entertainment,Increasing,Low,143605.86,Master’s Degree,12,9781,1168,86.72,88.88,China,74.82,2,0.8115984668933974,2
Consulting civil engineer,Entertainment,Increasing,High,130961.94,Bachelor’s Degree,5,1508,1044,35.27,93.25,Brazil,52.6,2,0.8113901886471138,2
"Psychologist, occupational",Healthcare,Increasing,Low,54469.45,Bachelor’s Degree,4,2372,6205,4.25,96.5,Australia,20.11,2,0.8105338645152391,2
Proofreader,Finance,Increasing,High,41984.25,Bachelor’s Degree,15,7775,5215,89.28,95.47,Germany,21.59,2,0.8105090408514629,2
Contracting civil engineer,IT,Decreasing,High,35894.81,PhD,6,387,2361,98.32,79.51,Canada,47.85,2,0.809429331249908,2
"Administrator, charities/voluntary organisations",IT,Decreasing,Moderate,43896.43,Bachelor’s Degree,16,119,3262,2.99,70.46,China,22.75,2,0.8085123996261049,2
Osteopath,Manufacturing,Decreasing,High,134835.68,Associate Degree,3,9569,9329,14.41,87.31,India,71.66,2,0.8084647797108747,2
"Therapist, music",Education,Decreasing,Low,87895.14,High School,20,7171,10000,3.61,76.86,India,68.65,2,0.8081521163940096,2
Logistics and distribution manager,Transportation,Decreasing,Moderate,134519.32,PhD,7,899,8970,92.76,77.19,Germany,20.82,2,0.8075178901246284,2
Theatre manager,Manufacturing,Decreasing,Moderate,144948.8,Associate Degree,11,8066,2062,70.06,77.92,Canada,24.97,2,0.8072251711003506,2
Curator,Entertainment,Increasing,High,146461.46,PhD,2,6032,419,78.97,89.86,Germany,36.22,2,0.8067506539827879,2
Contracting civil engineer,Manufacturing,Decreasing,Moderate,64996.2,High School,6,9521,1437,22.13,97.02,Brazil,71.19,2,0.8064993421238273,2
Fisheries officer,Transportation,Decreasing,Moderate,90970.52,High School,7,5380,9200,99.51,68.8,Brazil,74.9,2,0.8048609290840095,2
Legal executive,Healthcare,Decreasing,Low,57229.24,Master’s Degree,16,440,6684,1.57,68.62,USA,28.4,2,0.8044938604034871,2
Management consultant,Manufacturing,Decreasing,High,91608.75,Associate Degree,0,6485,9024,9.87,66.91,Brazil,78.9,2,0.8041137015080582,2
Energy manager,Finance,Increasing,High,37944.94,High School,18,2645,3385,95.32,61.04,UK,23.88,2,0.8040923314782461,2
"Programmer, multimedia",IT,Decreasing,High,30964.92,Master’s Degree,8,9367,1603,73.2,71.1,Brazil,48.54,2,0.8033791884147415,2
Osteopath,Retail,Decreasing,Low,76040.26,Bachelor’s Degree,15,6683,1246,77.99,90.42,Brazil,24.5,2,0.80337746058157,2
Consulting civil engineer,Manufacturing,Increasing,Moderate,147519.15,Bachelor’s Degree,17,6818,2854,99.74,60.12,UK,76.67,2,0.8032431976790978,2
Garment/textile technologist,Manufacturing,Decreasing,Moderate,140730.75,Master’s Degree,20,6874,7758,67.15,99.48,Canada,22.98,2,0.801923859657469,2
Wellsite geologist,Manufacturing,Decreasing,Moderate,67156.49,High School,2,4019,121,4.69,14.54,Brazil,26.09,2,0.8009740335157521,0
Trade union research officer,IT,Decreasing,Low,35717.45,Master’s Degree,16,426,2492,95.82,82.82,Germany,38.84,2,0.8005515208537085,2
Senior tax professional/tax inspector,Education,Increasing,Moderate,36986.36,Associate Degree,7,9716,1465,89.02,92.99,UK,26.73,2,0.7997927977051447,2
Fisheries officer,Finance,Decreasing,Moderate,61331.5,Associate Degree,14,1501,9302,72.56,68.75,Canada,75.94,2,0.7997344460144271,2
Speech and language therapist,Transportation,Increasing,Moderate,122057.49,Bachelor’s Degree,10,8500,1192,40.57,85.65,UK,74.79,2,0.799301773229233,2
"Scientist, product/process development",Entertainment,Decreasing,Low,141453.39,High School,15,1534,914,79.56,67.83,Germany,42.81,2,0.7985118239258145,2
"Embryologist, clinical",Manufacturing,Increasing,Low,80216.38,Associate Degree,10,986,9955,45.19,87.64,UK,48.09,2,0.7974771779793617,2
Trade union research officer,Healthcare,Decreasing,High,37003.16,PhD,19,639,7584,41.02,77.59,China,41.19,2,0.7968866374552483,2
Dancer,Education,Decreasing,Moderate,147909.06,Bachelor’s Degree,15,1623,3377,54.79,87.14,USA,45.96,2,0.7967898338761643,2
Water engineer,Retail,Decreasing,High,145213.8,Master’s Degree,15,6858,245,68.14,87.11,Germany,61.58,2,0.7961233649897147,2
Proofreader,Entertainment,Increasing,High,115952.37,Associate Degree,3,6395,3854,84.85,95.69,China,63.26,2,0.7960923885649653,2
Management consultant,IT,Increasing,High,68891.87,High School,3,9585,1503,61.87,90.19,India,37.78,2,0.7950232106332518,2
Tree surgeon,Healthcare,Increasing,High,144602.01,Bachelor’s Degree,0,9603,3398,2.55,87.74,China,24.1,2,0.7941895597708908,2
Logistics and distribution manager,Manufacturing,Decreasing,High,142619.06,Master’s Degree,8,5699,1153,3.94,69.19,Canada,25.15,2,0.7938630048304629,2
Warehouse manager,Healthcare,Increasing,Moderate,32477.05,Bachelor’s Degree,11,677,1529,89.04,88.13,India,71.02,2,0.7934841133619823,2
Passenger transport manager,IT,Decreasing,High,125981.61,Master’s Degree,20,5269,170,61.46,79.28,Germany,65.86,2,0.7934236179286476,2
"Conservator, museum/gallery",Transportation,Decreasing,High,121498.38,Master’s Degree,16,9439,3789,8.19,79.4,Germany,54.14,2,0.7933394701347274,2
Adult guidance worker,Manufacturing,Decreasing,Moderate,34556.25,PhD,19,9944,2917,94.41,62.58,India,77.71,2,0.7929474901149803,2
Immigration officer,Transportation,Increasing,Moderate,143500.93,High School,15,2636,7845,68.52,93.9,UK,25.72,2,0.7929191318116892,2
Architectural technologist,Healthcare,Decreasing,Moderate,37534.08,High School,17,5313,1361,2.25,68.95,Brazil,78.09,2,0.7928568495388201,2
Environmental manager,Entertainment,Increasing,Low,35648.08,Master’s Degree,10,5224,8647,61.0,98.88,Canada,34.63,2,0.7928151799310406,2
"Engineer, civil (contracting)",Entertainment,Increasing,High,145815.15,High School,4,7081,9697,93.7,51.41,China,56.72,2,0.7925276758943879,1
Retail buyer,Manufacturing,Increasing,Low,54939.12,Master’s Degree,3,351,5777,93.2,91.66,USA,20.14,2,0.7920480472561297,2
Freight forwarder,Transportation,Decreasing,Low,38468.62,Master’s Degree,8,816,8572,12.59,96.58,Brazil,30.25,2,0.7920081627076767,2
Horticultural therapist,Entertainment,Decreasing,Low,35187.28,High School,7,6403,8433,98.65,69.96,Brazil,44.77,2,0.7915942676864897,2
"Conservator, museum/gallery",Education,Decreasing,High,56393.02,PhD,4,2337,9250,7.27,77.04,Brazil,65.82,2,0.7915509623091687,2
Quarry manager,Entertainment,Increasing,Moderate,51388.84,Associate Degree,5,7755,1491,78.56,67.49,USA,24.17,2,0.7914758783545248,2
IT trainer,Manufacturing,Decreasing,Moderate,76287.92,Associate Degree,19,3176,846,16.74,91.56,UK,53.93,2,0.7913391684534056,2
"Conservator, museum/gallery",Healthcare,Decreasing,Moderate,32196.66,Bachelor’s Degree,12,4554,7939,81.58,99.97,UK,26.77,2,0.7912818514434422,2
Proofreader,Entertainment,Increasing,High,149671.61,Master’s Degree,4,1917,2937,84.29,99.86,Australia,29.59,2,0.7911281975237867,2
Dancer,Healthcare,Increasing,High,53235.74,Master’s Degree,6,7488,4078,24.08,71.85,Brazil,32.65,2,0.7904568009010712,2
Operational investment banker,Finance,Decreasing,Low,73559.77,High School,11,5114,1187,41.13,71.05,USA,20.24,2,0.7900747105101298,2
"Administrator, education",Entertainment,Increasing,Moderate,93266.17,PhD,3,7388,2519,91.94,65.26,Canada,79.92,2,0.7884846967473266,2
Proofreader,Finance,Increasing,High,30507.69,Associate Degree,7,4647,1775,24.65,65.92,Brazil,66.77,2,0.7883496460536134,2
Museum/gallery curator,Education,Decreasing,Moderate,143538.59,Master’s Degree,10,9699,883,16.59,64.73,Australia,43.35,2,0.7882604866036024,2
Management consultant,Healthcare,Increasing,Low,33006.44,Master’s Degree,4,3785,142,3.31,68.82,USA,38.26,2,0.7877573200708666,2
Pension scheme manager,Healthcare,Decreasing,High,84725.49,High School,11,1213,898,89.37,88.47,Germany,44.32,2,0.7869555875635803,2
Legal executive,Entertainment,Decreasing,Moderate,76756.26,High School,5,7307,6717,7.42,95.07,Brazil,28.65,2,0.7858135552216355,2
"Scientist, research (maths)",Finance,Increasing,Moderate,147949.32,Bachelor’s Degree,8,6178,1452,80.75,89.49,Germany,26.08,2,0.7856966761435676,2
Immigration officer,Entertainment,Increasing,Low,31078.92,Master’s Degree,11,9570,1100,93.69,79.43,Australia,76.15,2,0.7854420530425346,2
Horticultural therapist,Education,Decreasing,Moderate,135549.17,Master’s Degree,20,3856,2832,40.56,86.54,USA,20.41,2,0.785367118876584,2
"Editor, magazine features",Retail,Increasing,High,32361.89,Master’s Degree,19,1091,7585,6.64,79.94,Brazil,58.67,2,0.7850630318739137,2
Dancer,Entertainment,Increasing,Low,70131.58,Associate Degree,17,9826,8533,27.35,86.71,Germany,60.37,2,0.7847817258400177,2
Secondary school teacher,Transportation,Increasing,High,140595.33,High School,8,8929,2014,69.91,71.85,UK,25.17,2,0.7843748858236114,2
"Engineer, control and instrumentation",Finance,Increasing,High,118750.47,PhD,11,7561,287,90.78,88.13,India,54.2,2,0.7842633796749537,2
Cytogeneticist,Manufacturing,Increasing,High,81593.08,Associate Degree,16,8403,9902,2.65,82.11,UK,51.85,2,0.7841290335595096,2
Osteopath,Manufacturing,Increasing,Moderate,133992.49,High School,1,9846,1662,43.1,27.52,Germany,23.64,2,0.7837191195602778,0
"Conservator, museum/gallery",Transportation,Decreasing,Low,132905.54,High School,5,500,2087,96.93,84.36,UK,21.44,2,0.7836416140657421,2
Electronics engineer,IT,Increasing,Low,34090.23,Associate Degree,9,7543,8034,43.1,82.35,Brazil,51.61,2,0.7828936469100648,2
Games developer,Finance,Decreasing,Moderate,148077.59,Associate Degree,4,8753,2161,5.94,94.01,China,22.12,2,0.7826981551463539,2
Mental health nurse,Transportation,Increasing,High,145330.11,Master’s Degree,19,7470,4434,1.62,79.58,China,23.31,2,0.7826340663844423,2
Recruitment consultant,IT,Increasing,High,110673.72,Bachelor’s Degree,6,5287,784,22.02,97.12,China,50.97,2,0.7820379617000836,2
Government social research officer,Manufacturing,Decreasing,High,82709.43,Bachelor’s Degree,17,9830,3615,88.36,84.24,Canada,53.74,2,0.781912874368856,2
Forensic psychologist,Transportation,Decreasing,Low,147378.85,PhD,5,8879,9985,87.75,84.39,India,32.7,2,0.781834574260726,2
Audiological scientist,Manufacturing,Increasing,Low,139480.53,PhD,17,5001,8589,14.13,82.24,Brazil,68.07,2,0.7818257270265719,2
Fisheries officer,Entertainment,Increasing,Low,128447.2,PhD,3,7588,1373,25.52,76.81,Germany,29.6,2,0.7813324670439076,2
Consulting civil engineer,IT,Decreasing,Moderate,144792.39,PhD,11,1097,2141,15.06,79.31,Brazil,32.54,2,0.7812634714106286,2
Legal executive,Entertainment,Increasing,Low,60716.12,PhD,6,6669,480,43.52,74.0,Brazil,39.76,2,0.7810902790534047,2
"Horticulturist, commercial",IT,Increasing,High,70111.24,PhD,15,6938,327,46.65,96.0,Germany,35.54,2,0.7810570307751225,2
Colour technologist,Healthcare,Decreasing,High,93735.46,PhD,4,6444,175,50.09,34.72,India,25.46,2,0.7810502343937795,1
Quarry manager,Education,Increasing,High,39538.96,High School,13,9837,3447,0.58,94.06,Canada,20.01,2,0.7810326521684842,2
Industrial buyer,Finance,Increasing,Low,146681.76,Associate Degree,10,6987,7269,16.65,97.88,Australia,21.04,2,0.7804472599935258,2
Comptroller,Manufacturing,Increasing,High,148359.04,High School,8,8414,468,4.63,93.21,China,22.58,2,0.778898429037717,2
Retail manager,Transportation,Decreasing,Moderate,58460.01,PhD,5,2187,1085,12.88,67.34,Germany,58.63,2,0.7787418712168385,2
"Engineer, site",Transportation,Decreasing,High,145874.97,Associate Degree,7,4723,1000,93.19,94.68,Canada,20.28,2,0.7787168508707497,2
"Production assistant, television",Retail,Decreasing,Moderate,35243.89,Associate Degree,9,602,6126,67.88,80.08,India,62.01,2,0.778554805713967,2
Dietitian,Finance,Increasing,High,135009.51,High School,6,9691,1181,87.57,77.42,India,39.42,2,0.7783392864509622,2
Tree surgeon,Finance,Increasing,Moderate,87833.01,Bachelor’s Degree,20,2676,1077,22.63,88.01,USA,49.88,2,0.7774738608412913,2
"Accountant, chartered public finance",Finance,Increasing,High,147224.92,Master’s Degree,15,528,4234,52.36,88.11,China,54.45,2,0.7774623029332213,2
Pension scheme manager,Healthcare,Decreasing,Low,118766.72,PhD,13,5565,9263,3.22,89.8,Australia,50.28,2,0.7772254822827155,2
Applications developer,Transportation,Increasing,Low,81265.08,Bachelor’s Degree,0,8668,9606,11.56,88.23,USA,79.35,2,0.7771923718038818,2
Public house manager,Transportation,Decreasing,Moderate,82791.93,Master’s Degree,7,3967,665,15.24,95.14,India,78.66,2,0.7771000388739597,2
Commercial horticulturist,Finance,Decreasing,Moderate,78061.84,Master’s Degree,3,7588,1184,80.25,84.12,India,29.09,2,0.7768365627474344,2
Archaeologist,Healthcare,Increasing,High,36465.96,High School,9,4389,330,45.71,79.35,Brazil,67.86,2,0.7768198389229672,2
Building services engineer,Manufacturing,Increasing,High,138323.98,Bachelor’s Degree,17,7607,7458,45.26,79.94,USA,57.67,2,0.7767603125886596,2
Fast food restaurant manager,Entertainment,Increasing,Low,147935.25,PhD,10,7137,9984,87.09,55.86,Germany,24.58,2,0.776637538830873,1
Actor,Finance,Increasing,Low,124011.81,Master’s Degree,20,5614,1857,14.45,69.58,Canada,64.66,2,0.7762013784357937,2
Tree surgeon,Transportation,Decreasing,Moderate,34877.74,Master’s Degree,11,7361,3460,69.25,94.42,Australia,44.9,2,0.7761633763492851,2
Wellsite geologist,Entertainment,Decreasing,High,41905.63,High School,11,431,1128,44.56,91.76,China,58.42,2,0.7759953484078479,2
Mechanical engineer,Entertainment,Increasing,Low,31487.74,Bachelor’s Degree,16,5421,9030,93.03,64.51,USA,36.96,2,0.7756569984437225,2
Building services engineer,Healthcare,Increasing,Moderate,60790.24,PhD,4,9550,6785,53.45,95.3,Canada,53.83,2,0.7754299479082132,2
Building services engineer,Finance,Decreasing,High,137878.51,Master’s Degree,19,2467,3233,50.43,76.26,India,59.35,2,0.7753999834209899,2
Wellsite geologist,Entertainment,Decreasing,Low,84681.96,PhD,11,7198,711,75.4,85.8,Brazil,23.96,2,0.7752963788950071,2
Senior tax professional/tax inspector,Entertainment,Decreasing,Low,85923.95,PhD,0,7771,950,52.44,90.76,UK,75.19,2,0.7751435712892519,2
Animator,Entertainment,Decreasing,High,48060.64,PhD,12,9589,1204,5.17,92.03,Brazil,42.86,2,0.7749208084896471,2
Actor,Education,Decreasing,Moderate,88146.13,PhD,20,2228,1073,48.36,65.37,UK,75.08,2,0.774263061323212,2
Midwife,Finance,Increasing,High,147040.32,Bachelor’s Degree,16,8038,1917,15.44,76.37,India,79.57,2,0.7740580902350661,2
Orthoptist,Transportation,Increasing,Low,113976.31,PhD,19,544,4858,66.43,77.8,Germany,61.77,2,0.7732508315785663,2
Fisheries officer,Entertainment,Decreasing,Moderate,142674.88,PhD,16,6682,2366,60.74,64.68,Australia,46.93,2,0.7730896036965895,2
Tree surgeon,Education,Increasing,High,139901.21,High School,12,9636,1529,37.04,92.87,India,45.92,2,0.7730166947530437,2
"Engineer, civil (consulting)",Education,Decreasing,Low,136617.38,Associate Degree,1,2803,274,54.09,98.72,Germany,22.77,2,0.7728949842181012,2
Audiological scientist,Finance,Increasing,High,61286.37,High School,17,4871,2815,27.1,85.43,Brazil,23.48,2,0.7724653358849835,2
"Engineer, civil (consulting)",Transportation,Increasing,High,73409.43,Bachelor’s Degree,3,458,4647,0.44,97.68,Australia,27.7,2,0.7724124714854751,2
"Engineer, mining",Entertainment,Increasing,High,105375.55,Master’s Degree,11,9436,778,95.59,75.33,Brazil,51.51,2,0.7723355594470994,2
"Scientist, forensic",Education,Decreasing,Low,89660.85,High School,3,189,9276,14.12,81.98,Germany,25.76,2,0.771813448967085,2
Tax inspector,Entertainment,Increasing,High,112314.57,Associate Degree,15,6547,8928,95.56,68.66,China,72.11,2,0.7717916668237241,2
Water engineer,Manufacturing,Decreasing,Low,131975.59,High School,1,2001,9782,11.21,78.59,UK,34.82,2,0.7712776878957757,2
TEFL teacher,Healthcare,Decreasing,Low,36345.69,Bachelor’s Degree,17,646,4753,66.54,86.53,Australia,23.05,2,0.7711630749282699,2
Proofreader,Retail,Increasing,Low,77302.17,PhD,5,2232,136,67.17,77.54,Germany,59.81,2,0.7710766800036019,2
"Surveyor, quantity",Finance,Increasing,High,132550.69,PhD,3,8414,8711,93.67,97.22,India,60.67,2,0.7710280681049992,2
Passenger transport manager,Healthcare,Decreasing,Moderate,148851.84,Master’s Degree,2,7780,9413,83.95,91.58,India,27.29,2,0.7709366240052936,2
Quarry manager,Retail,Decreasing,Moderate,139059.13,Associate Degree,14,8978,201,36.68,98.48,Canada,38.03,2,0.7706777382780395,2
Water engineer,Education,Increasing,High,57644.96,Associate Degree,15,9528,4236,96.73,61.82,Canada,42.32,2,0.7705499817977612,2
Retail manager,IT,Increasing,Moderate,96249.93,Associate Degree,0,7482,3040,74.89,70.03,Brazil,79.53,2,0.7704977662916761,2
Sports coach,Entertainment,Decreasing,Low,47740.7,PhD,18,487,1687,66.63,88.87,Germany,69.96,2,0.7701766365468337,2
Electronics engineer,Education,Decreasing,High,118788.46,Associate Degree,0,5181,748,20.33,95.87,UK,57.1,2,0.7701233532006608,2
Acupuncturist,Healthcare,Decreasing,High,59324.16,Master’s Degree,3,3957,238,28.01,85.74,Brazil,22.11,2,0.7699332566635948,2
Sub,Education,Increasing,Moderate,122790.42,Bachelor’s Degree,20,453,3302,61.92,87.5,Canada,79.52,2,0.769738876069174,2
Recruitment consultant,Healthcare,Increasing,Low,129396.93,PhD,14,9835,9218,5.28,70.26,USA,48.78,2,0.7695595656829911,2
Recycling officer,Manufacturing,Decreasing,High,40791.86,Master’s Degree,15,8780,320,49.81,61.08,Germany,43.83,2,0.7687043416289315,2
Landscape architect,Entertainment,Decreasing,High,145230.0,Associate Degree,20,5062,6969,41.23,70.19,Canada,21.65,2,0.768423570699965,2
Proofreader,Finance,Decreasing,Moderate,106767.42,Associate Degree,14,6892,3208,28.69,68.36,Germany,78.07,2,0.7682073104418564,2
Hydrologist,Healthcare,Decreasing,Low,122448.75,Master’s Degree,20,677,1410,51.92,86.6,USA,65.21,2,0.767732184150496,2
Consulting civil engineer,Entertainment,Decreasing,Moderate,114926.96,Associate Degree,8,7640,431,79.91,85.33,UK,37.62,2,0.767345046994971,2
Proofreader,Transportation,Increasing,Moderate,142188.89,Bachelor’s Degree,17,1646,1563,17.84,99.39,Canada,24.77,2,0.767044236645345,2
Museum/gallery conservator,Education,Increasing,High,114903.71,PhD,17,694,5102,73.99,98.84,Brazil,74.94,2,0.7669758252333739,2
"Designer, jewellery",IT,Increasing,Moderate,31288.96,PhD,13,5561,9564,78.23,73.13,Germany,76.47,2,0.7660579020757315,2
Multimedia programmer,Retail,Decreasing,Low,31442.61,High School,20,756,5307,18.74,88.76,India,69.84,2,0.7659610050398838,2
"Research officer, government",Healthcare,Decreasing,Moderate,149118.12,Bachelor’s Degree,3,1931,3282,86.41,86.51,Brazil,50.07,2,0.765790954888411,2
Wellsite geologist,Entertainment,Increasing,Low,149025.99,Bachelor’s Degree,3,8647,9329,17.24,86.32,Australia,31.54,2,0.7656171567244683,2
Horticultural therapist,Finance,Decreasing,Low,131423.03,Bachelor’s Degree,20,4918,7765,77.83,73.39,Germany,33.39,2,0.7653354921896298,2
Osteopath,Manufacturing,Increasing,Low,33270.87,Bachelor’s Degree,7,2700,306,0.53,64.61,Australia,57.46,2,0.7652666535721974,2
Operational investment banker,Retail,Increasing,High,142052.54,Associate Degree,15,2734,6109,35.77,79.27,Canada,77.49,2,0.7651319984321736,2
Quality manager,Entertainment,Decreasing,High,149877.83,High School,13,9902,7925,48.13,70.76,China,63.71,2,0.7646845075937716,2
"Designer, multimedia",Transportation,Decreasing,High,86530.0,PhD,16,8328,3736,67.57,96.45,Germany,76.77,2,0.7644808690424323,2
Science writer,Transportation,Increasing,High,148477.1,PhD,12,8176,5506,9.7,88.48,Canada,25.43,2,0.7644052006019575,2
Private music teacher,Education,Decreasing,Low,136597.28,Associate Degree,12,730,8289,77.43,96.28,Brazil,45.86,2,0.7643906623520328,2
Mudlogger,Finance,Decreasing,Low,103327.6,High School,9,751,8196,81.66,78.24,USA,21.52,2,0.7639260385624541,2
Electronics engineer,Finance,Decreasing,High,92817.78,Associate Degree,3,8396,397,97.21,60.22,Germany,47.37,2,0.7636299661429772,2
"Designer, graphic",Transportation,Decreasing,High,136216.96,Bachelor’s Degree,16,9501,1700,2.39,75.99,Germany,73.98,2,0.7636185002957614,2
Retail manager,IT,Decreasing,Moderate,128168.54,Bachelor’s Degree,3,849,7061,58.8,65.69,USA,60.35,2,0.7636182288508412,2
Mudlogger,Education,Decreasing,Low,55085.03,High School,4,1971,3403,96.9,74.01,Canada,55.67,2,0.7631563623976433,2
Plant breeder/geneticist,Education,Decreasing,Low,31313.68,Associate Degree,15,8856,1513,5.5,69.59,Australia,77.79,2,0.7631096312805695,2
"Therapist, drama",Transportation,Decreasing,Moderate,59712.65,PhD,0,5953,2046,45.72,88.7,UK,74.55,2,0.7629978239618529,2
Retail banker,Finance,Decreasing,Low,125010.45,Bachelor’s Degree,7,1592,6391,81.52,95.43,Brazil,21.71,2,0.7628853329679589,2
Quarry manager,Healthcare,Decreasing,Moderate,132734.34,Bachelor’s Degree,5,788,1920,46.72,68.72,China,76.33,2,0.7628427040358943,2
